,depth,width,area,midwidth,octa,octa_removed
pt2_L1,303,228.7821782,69321,249,3.389205185,
pt2_L2,155,111.483871,17280,111,NaN,
pt2_L3,190,230.5842105,43811,252,NaN,
pt2_L4,166,251.5903614,41764,279,3.076749933,
pt2_L5,199,188.8592965,37583,204,0.961712832,
pt2_L6,83,103.4337349,8585,122,1.280624635,
pt2_L7,,,,,,1.491305994
pt2_R2,126,117.6507937,14824,131,1.846705497,
pt2_R4,228,247.9517544,56533,286,3.282068504,
pt2_R5,171,94.73099415,16199,104,NaN,
pt2_R6,157,51.36942675,8065,59,NaN,
pt2_R7,200,121.44,24288,127,1.641167251,
pt3_L1,222,180.3693694,40042,118,3.458423396,
pt3_L2,219,424.4885845,92963,479,1.394570153,
pt3_L3,342,233.8245614,79968,259,3.498977424,
pt3_L4,248,234.8629032,58246,274,2.761673664,
pt3_L6,242,241.7603306,58506,276,NaN,
pt3_L7,130,122.2615385,15894,149,NaN,
pt3_R1,227,238.8854626,54227,260,2.865642248,
pt3_R2,136,180.8014706,24589,205,1.927120145,
pt3_R4,279,233.4336918,65128,267,3.032360976,
pt4_L4,262,375.7022901,98434,426,5.680025698,
pt5_R4,233,383.6566524,89392,385,NaN,
,*0.01mm,*0.01mm,*0.01mm^2,*0.01mm,mm,